id,nome,contacto,email,area_actividade,quantidade_pcs,cidade,bairro,tipo_cliente
NAM-038,Farmácia Nacional Lda,+258 869062973,farmácialda@empresa.co.mz,Construção/Imobiliária,13,Nampula,Cidade Alta,Pequeno
NAM-039,Supermercado Moderna Lda,+258 845782563,supermercadolda@empresa.co.mz,Indústria,187,Nampula,Muatala,Grande
NAM-040,Instituto Unida SA,+258 848339571,institutosa@empresa.co.mz,Comércio/Retalho,33,Nampula,Muatala,Médio
NAM-041,Tecnologias Progresso SA,+258 851893502,tecnologiassa@empresa.co.mz,Comércio/Retalho,27,Nampula,Cidade Alta,Médio
NAM-042,Escola Moçambicana Lda,+258 854767135,escolalda@empresa.co.mz,Serviços/Consultoria,29,Nampula,Cidade Alta,Médio
NAM-043,Empresa Sul Unipessoal Lda,+258 845813037,empresalda@empresa.co.mz,Comércio/Retalho,14,Nampula,Namicope,Pequeno
NAM-044,Indústrias Nacional SA,+258 858526283,indústriassa@empresa.co.mz,Indústria,199,Nampula,Namutequeliua,Grande
NAM-045,Grupo Central Lda,+258 849854536,grupolda@empresa.co.mz,Educação,75,Nampula,Namicope,Grande
NAM-046,Hotel Moçambicana SA,+258 845000351,hotelsa@empresa.co.mz,Serviços/Consultoria,24,Nampula,Cidade Alta,Médio
NAM-047,Farmácia Progresso Lda,+258 859993490,farmácialda@empresa.co.mz,Serviços/Consultoria,9,Nampula,Cidade Alta,Pequeno
NAM-048,Laboratório Nova Lda,+258 845886733,laboratóriolda@empresa.co.mz,Comércio/Retalho,20,Nampula,Namutequeliua,Médio
NAM-049,Farmácia Sul Lda,+258 854142605,farmácialda@empresa.co.mz,Serviços/Consultoria,20,Nampula,Muatala,Médio
NAM-050,Grupo Futuro Lda,+258 869511546,grupolda@empresa.co.mz,Hotelaria/Restauração,28,Nampula,Cidade Alta,Médio
