id,nome,contacto,email,area_actividade,quantidade_pcs,cidade,bairro,tipo_cliente
MAP-047,Escola Unida Lda,+258 866075395,escolalda@empresa.co.mz,Indústria,45,Maputo,Maxaquene,Médio
MAP-048,Laboratório Central Lda,+258 845437001,laboratóriolda@empresa.co.mz,Educação,86,Maputo,Sommerschield,Grande
MAP-049,Empresa Futuro Unipessoal Lda,+258 854533779,empresalda@empresa.co.mz,Comércio/Retalho,14,Maputo,Malhangalene,Pequeno
MAP-050,Consultoria Unida Lda,+258 851852264,consultorialda@empresa.co.mz,Hotelaria/Restauração,37,Maputo,Maxaquene,Médio
MAP-051,Agrícola Unida SA,+258 853194789,agrícolasa@empresa.co.mz,Comércio/Retalho,7,Maputo,Central,Pequeno
MAP-052,Construções Nacional Lda,+258 868175395,construçõeslda@empresa.co.mz,Educação,123,Maputo,Aeroporto,Grande
MAP-053,Empresa Moderna Unipessoal Lda,+258 847194416,empresalda@empresa.co.mz,Educação,48,Maputo,Aeroporto,Médio
MAP-054,Comercial Norte Lda,+258 857117837,comerciallda@empresa.co.mz,Educação,42,Maputo,Central,Médio
MAP-055,Distribuidora Sul SA,+258 862724590,distribuidorasa@empresa.co.mz,Indústria,58,Maputo,Coop,Médio
MAP-056,Supermercado Norte Lda,+258 843970445,supermercadolda@empresa.co.mz,Serviços/Consultoria,14,Maputo,Coop,Pequeno
MAP-057,Serviços e Comércio Nacional Lda,+258 855163555,serviçoslda@empresa.co.mz,Indústria,193,Maputo,Alto Maé,Grande
MAP-058,Empresa Norte Unipessoal Lda,+258 844348276,empresalda@empresa.co.mz,Serviços/Consultoria,7,Maputo,Maxaquene,Pequeno
MAP-059,Logística Sul Lda,+258 841397023,logísticalda@empresa.co.mz,Construção/Imobiliária,14,Maputo,Coop,Pequeno
MAP-060,Transportes Sul Lda,+258 856891254,transporteslda@empresa.co.mz,Hotelaria/Restauração,22,Maputo,Sommerschield,Médio
MAP-061,Transportes Futuro Lda,+258 845382463,transporteslda@empresa.co.mz,Educação,94,Maputo,Central,Grande
MAP-062,Construções Central Lda,+258 856799667,construçõeslda@empresa.co.mz,Comércio/Retalho,11,Maputo,Triunfo,Pequeno
MAP-063,Clínica Norte Lda,+258 847462506,clínicalda@empresa.co.mz,Hotelaria/Restauração,43,Maputo,Aeroporto,Médio
MAP-064,Consultoria Unida Lda,+258 849722815,consultorialda@empresa.co.mz,Indústria,16,Maputo,Baixa,Médio
MAP-065,Supermercado Moçambicana Lda,+258 846539837,supermercadolda@empresa.co.mz,Indústria,98,Maputo,Baixa,Grande
MAP-066,Empresa Unida Unipessoal Lda,+258 867851696,empresalda@empresa.co.mz,Educação,139,Maputo,Malhangalene,Grande
MAP-067,Hotel Futuro SA,+258 857361002,hotelsa@empresa.co.mz,Serviços/Consultoria,13,Maputo,Coop,Pequeno
MAP-068,Instituto Nova SA,+258 851006810,institutosa@empresa.co.mz,Hotelaria/Restauração,41,Maputo,Malhangalene,Médio
MAP-069,Consultoria Norte Lda,+258 858418210,consultorialda@empresa.co.mz,Serviços/Consultoria,25,Maputo,Maxaquene,Médio
MAP-070,Laboratório Progresso Lda,+258 859647849,laboratóriolda@empresa.co.mz,Hotelaria/Restauração,15,Maputo,Sommerschield,Pequeno
MAP-071,Farmácia Sul Lda,+258 866207974,farmácialda@empresa.co.mz,Hotelaria/Restauração,10,Maputo,Coop,Pequeno
MAP-072,Consultoria Nacional Lda,+258 848971465,consultorialda@empresa.co.mz,Comércio/Retalho,6,Maputo,Central,Pequeno
MAP-073,Grupo Progresso Lda,+258 847442089,grupolda@empresa.co.mz,Educação,116,Maputo,Triunfo,Grande
MAP-074,Tecnologias Nacional SA,+258 848132769,tecnologiassa@empresa.co.mz,Saúde,88,Maputo,Central,Grande
MAP-075,Laboratório Progresso Lda,+258 843036059,laboratóriolda@empresa.co.mz,Comércio/Retalho,8,Maputo,Aeroporto,Pequeno
MAP-076,Logística Futuro Lda,+258 858425149,logísticalda@empresa.co.mz,Saúde,76,Maputo,Triunfo,Grande
MAP-077,Laboratório Norte Lda,+258 848963715,laboratóriolda@empresa.co.mz,Educação,150,Maputo,Maxaquene,Grande
MAP-078,Tecnologias Unida SA,+258 865013879,tecnologiassa@empresa.co.mz,Saúde,71,Maputo,Maxaquene,Grande
MAP-079,Grupo Unida Lda,+258 856363836,grupolda@empresa.co.mz,Serviços/Consultoria,20,Maputo,Malhangalene,Médio
MAP-080,Grupo Nacional Lda,+258 853563646,grupolda@empresa.co.mz,Indústria,43,Maputo,Coop,Médio
MAP-081,Grupo Norte Lda,+258 868816912,grupolda@empresa.co.mz,Hotelaria/Restauração,31,Maputo,Alto Maé,Médio
MAP-082,Consultoria Norte Lda,+258 861327691,consultorialda@empresa.co.mz,Serviços/Consultoria,29,Maputo,Triunfo,Médio
MAP-083,Oficina Norte Lda,+258 856009888,oficinalda@empresa.co.mz,Indústria,127,Maputo,Central,Grande
MAP-084,Agrícola Futuro SA,+258 864700025,agrícolasa@empresa.co.mz,Construção/Imobiliária,28,Maputo,Aeroporto,Médio
MAP-085,Construções Norte Lda,+258 856639317,construçõeslda@empresa.co.mz,Saúde,67,Maputo,Central,Grande
MAP-086,Transportes Nacional Lda,+258 869961107,transporteslda@empresa.co.mz,Hotelaria/Restauração,34,Maputo,Polana,Médio
MAP-087,Transportes Nova Lda,+258 848190929,transporteslda@empresa.co.mz,Comércio/Retalho,41,Maputo,Central,Médio
MAP-088,Logística Nacional Lda,+258 856492066,logísticalda@empresa.co.mz,Comércio/Retalho,8,Maputo,Malhangalene,Pequeno
MAP-089,Clínica Sul Lda,+258 855232413,clínicalda@empresa.co.mz,Comércio/Retalho,29,Maputo,Malhangalene,Médio
MAP-090,Indústrias Central SA,+258 846871360,indústriassa@empresa.co.mz,Construção/Imobiliária,28,Maputo,Aeroporto,Médio
MAP-091,Grupo Central Lda,+258 841341919,grupolda@empresa.co.mz,Comércio/Retalho,6,Maputo,Coop,Pequeno
MAP-092,Tecnologias Nacional SA,+258 864656838,tecnologiassa@empresa.co.mz,Educação,131,Maputo,Sommerschield,Grande
MAP-093,Construções Sul Lda,+258 862921542,construçõeslda@empresa.co.mz,Saúde,26,Maputo,Triunfo,Médio
MAP-094,Instituto Unida SA,+258 846233774,institutosa@empresa.co.mz,Construção/Imobiliária,8,Maputo,Triunfo,Pequeno
MAP-095,Transportes Norte Lda,+258 865074336,transporteslda@empresa.co.mz,Educação,60,Maputo,Sommerschield,Médio
MAP-096,Hotel Nova SA,+258 846825112,hotelsa@empresa.co.mz,Comércio/Retalho,12,Maputo,Triunfo,Pequeno
MAP-097,Escola Moderna Lda,+258 848047416,escolalda@empresa.co.mz,Saúde,69,Maputo,Alto Maé,Grande
MAP-098,Empresa Norte Unipessoal Lda,+258 863566765,empresalda@empresa.co.mz,Construção/Imobiliária,16,Maputo,Maxaquene,Médio
MAP-099,Laboratório Unida Lda,+258 858307727,laboratóriolda@empresa.co.mz,Serviços/Consultoria,39,Maputo,Maxaquene,Médio
MAP-100,Oficina Unida Lda,+258 845679639,oficinalda@empresa.co.mz,Construção/Imobiliária,15,Maputo,Coop,Pequeno
