id,nome,contacto,email,area_actividade,quantidade_pcs,cidade,bairro,tipo_cliente
MAT-026,Oficina Nova Lda,+258 861674975,oficinalda@empresa.co.mz,ONGs/Associações,6,Matola,Infulene,Pequeno
MAT-027,Instituto Progresso SA,+258 854044882,institutosa@empresa.co.mz,Construção/Imobiliária,21,Matola,Nhanteto,Médio
MAT-028,Agrícola Progresso SA,+258 857850944,agrícolasa@empresa.co.mz,ONGs/Associações,10,Matola,Nhanteto,Pequeno
MAT-029,Empresa Nacional Unipessoal Lda,+258 869312590,empresalda@empresa.co.mz,Serviços/Consultoria,26,Matola,Malandela,Médio
MAT-030,Transportes Futuro Lda,+258 846276722,transporteslda@empresa.co.mz,Serviços/Consultoria,7,Matola,Nhanteto,Pequeno
MAT-031,Empresa Norte Unipessoal Lda,+258 868750676,empresalda@empresa.co.mz,Serviços/Consultoria,37,Matola,Fomento,Médio
MAT-032,Consultoria Futuro Lda,+258 868416216,consultorialda@empresa.co.mz,Serviços/Consultoria,28,Matola,Nhanteto,Médio
MAT-033,Consultoria Unida Lda,+258 858350368,consultorialda@empresa.co.mz,Construção/Imobiliária,22,Matola,T-3,Médio
MAT-034,Indústrias Moderna SA,+258 863657144,indústriassa@empresa.co.mz,Indústria,12,Matola,Tsalala,Pequeno
MAT-035,Serviços e Comércio Futuro Lda,+258 842903561,serviçoslda@empresa.co.mz,Serviços/Consultoria,31,Matola,Machava,Médio
MAT-036,Empresa Nacional Unipessoal Lda,+258 865587308,empresalda@empresa.co.mz,Saúde,68,Matola,Infulene,Grande
MAT-037,Indústrias Progresso SA,+258 863426689,indústriassa@empresa.co.mz,Serviços/Consultoria,20,Matola,Nhanteto,Médio
MAT-038,Farmácia Futuro Lda,+258 857961578,farmácialda@empresa.co.mz,Serviços/Consultoria,13,Matola,Machava,Pequeno
MAT-039,Laboratório Unida Lda,+258 866008935,laboratóriolda@empresa.co.mz,Serviços/Consultoria,5,Matola,Infulene,Pequeno
MAT-040,Oficina Progresso Lda,+258 869125900,oficinalda@empresa.co.mz,Construção/Imobiliária,9,Matola,Nhanteto,Pequeno
MAT-041,Supermercado Futuro Lda,+258 854165061,supermercadolda@empresa.co.mz,Serviços/Consultoria,29,Matola,Nhanteto,Médio
MAT-042,Tecnologias Nova SA,+258 851732280,tecnologiassa@empresa.co.mz,ONGs/Associações,29,Matola,Tsalala,Médio
MAT-043,Indústrias Norte SA,+258 851621086,indústriassa@empresa.co.mz,Serviços/Consultoria,29,Matola,T-3,Médio
MAT-044,Oficina Sul Lda,+258 849823994,oficinalda@empresa.co.mz,Comércio/Retalho,11,Matola,Nhanteto,Pequeno
MAT-045,Serviços e Comércio Nacional Lda,+258 848876745,serviçoslda@empresa.co.mz,Indústria,109,Matola,T-3,Grande
MAT-046,Construções Sul Lda,+258 862347467,construçõeslda@empresa.co.mz,Construção/Imobiliária,24,Matola,Malandela,Médio
MAT-047,Supermercado Norte Lda,+258 861602286,supermercadolda@empresa.co.mz,Indústria,86,Matola,Nhanteto,Grande
MAT-048,Tecnologias Unida SA,+258 852651601,tecnologiassa@empresa.co.mz,Educação,68,Matola,Machava,Grande
MAT-049,Empresa Progresso Unipessoal Lda,+258 841771600,empresalda@empresa.co.mz,Construção/Imobiliária,10,Matola,Infulene,Pequeno
MAT-050,Distribuidora Unida SA,+258 853442255,distribuidorasa@empresa.co.mz,Serviços/Consultoria,27,Matola,Matola Gare,Médio
